#==============================================================================
#
# シーンデータスクリプト
# Author : masayasu wakita
#
#==============================================================================
SCRIPT

FIELDSET
	POS = 0.00 0.00 0.00
	VERTEXINFO
		-1240.66, -50.00, -921.96, 1.00, 1.00, 1.00, 1.00
		-1240.66, 500.00, -921.96, 1.00, 1.00, 1.00, 1.00
		-624.57, -50.00, 4094.74, 1.00, 1.00, 1.00, 1.00
		-624.57, 500.00, 4094.74, 1.00, 1.00, 1.00, 1.00
		72.01, -50.00, 6328.38, 1.00, 1.00, 1.00, 1.00
		72.01, 500.00, 6328.38, 1.00, 1.00, 1.00, 1.00
		2619.03, -50.00, 6655.18, 1.00, 1.00, 1.00, 1.00
		2619.03, 500.00, 6655.18, 1.00, 1.00, 1.00, 1.00
		3201.19, -50.00, 7431.68, 1.00, 1.00, 1.00, 1.00
		3201.19, 500.00, 7431.68, 1.00, 1.00, 1.00, 1.00
		3059.78, -50.00, 8382.97, 1.00, 1.00, 1.00, 1.00
		3059.78, 500.00, 8382.97, 1.00, 1.00, 1.00, 1.00
		902.24, -50.00, 8786.26, 1.00, 1.00, 1.00, 1.00
		902.24, 500.00, 8786.26, 1.00, 1.00, 1.00, 1.00
		718.94, -50.00, 17362.79, 1.00, 1.00, 1.00, 1.00
		718.94, 1500.00, 17362.79, 1.00, 1.00, 1.00, 1.00
		482.48, -50.00, 18449.10, 1.00, 1.00, 1.00, 1.00
		482.48, 1500.00, 18449.10, 1.00, 1.00, 1.00, 1.00
		-659.31, -50.00, 18722.12, 1.00, 1.00, 1.00, 1.00
		-659.31, 1500.00, 18722.12, 1.00, 1.00, 1.00, 1.00
		-2198.30, -50.00, 18270.84, 1.00, 1.00, 1.00, 1.00
		-2198.30, 1500.00, 18270.84, 1.00, 1.00, 1.00, 1.00
		-4037.35, -50.00, 19707.77, 1.00, 1.00, 1.00, 1.00
		-4037.35, 1500.00, 19707.77, 1.00, 1.00, 1.00, 1.00
		-4342.04, -50.00, 19194.20, 1.00, 1.00, 1.00, 1.00
		-4342.04, 1500.00, 19194.20, 1.00, 1.00, 1.00, 1.00
		-3671.65, -50.00, 17641.59, 1.00, 1.00, 1.00, 1.00
		-3671.65, 1500.00, 17641.59, 1.00, 1.00, 1.00, 1.00
		-1582.65, -50.00, 15109.70, 1.00, 1.00, 1.00, 1.00
		-1582.65, 1500.00, 15109.70, 1.00, 1.00, 1.00, 1.00
		-2163.39, -50.00, 13369.45, 1.00, 1.00, 1.00, 1.00
		-2163.39, 1500.00, 13369.45, 1.00, 1.00, 1.00, 1.00
		-2189.78, -500.00, 8927.00, 1.00, 1.00, 1.00, 1.00
		-2189.78, 1500.00, 8927.00, 1.00, 1.00, 1.00, 1.00
		-3837.08, -500.00, 7510.06, 1.00, 1.00, 1.00, 1.00
		-3544.08, 1500.00, 7577.60, 1.00, 1.00, 1.00, 1.00
		-6187.84, -300.00, 7355.21, 1.00, 1.00, 1.00, 1.00
		-6187.84, 1500.00, 7355.21, 1.00, 1.00, 1.00, 1.00
		-8693.00, -500.00, 8428.00, 1.00, 1.00, 1.00, 1.00
		-8693.00, 1500.00, 8428.79, 1.00, 1.00, 1.00, 1.00
		-9686.96, -300.00, 13013.33, 1.00, 1.00, 1.00, 1.00
		-9770.96, 1500.00, 13013.33, 1.00, 1.00, 1.00, 1.00
		-10373.67, 1500.00, 16531.24, 1.00, 1.00, 1.00, 1.00
